adj.P.Val	P.Value	AveExpr	t	B	logFC	Gene.symbol	Gene.ID	Gene.title	normalized_logFC
1.84191984545186e-10	1.32753608376461e-12	9.60847152132857	8.56201633139774	18.4124282103704	0.76753258488332	NR3C1	2908	nuclear receptor subfamily 3 group C member 1	2.9111805561542106
1.24924541414771e-09	2.38450930468556e-11	9.00382443677143	7.89149659584707	15.5994093600309	1.15463638656665	TMED5	50999	transmembrane p24 trafficking protein 5	3.352107238440253
1.68703653631182e-09	3.6076339680357294e-11	7.64129713522857	7.79526461504248	15.1962081260696	0.472340581016655	NR3C1	2908	nuclear receptor subfamily 3 group C member 1	2.5749450804593152
1.80610257202913e-08	8.52555942443656e-10	9.7255249367	7.05685036121796	12.1182631685461	0.984616095691655	TMED10	10972	transmembrane p24 trafficking protein 10	3.1584473403694373
1.76241362646833e-07	1.47691236260539e-08	8.28996844901429	6.38103769790908	9.34735771141345	0.649395975233322	NR3C1	2908	nuclear receptor subfamily 3 group C member 1	2.7766182420591745
8.25383009426946e-07	9.66847355411416e-08	10.6734166177143	-5.92683467594387	7.52620449311794	-0.317458968250021	LMNA	4000	lamin A/C	1.6753318671175146
8.7981710566324e-06	1.55602059000952e-06	6.15762125585714	-5.23455032222724	4.84317148513085	-0.272215677750014	PFKFB2	5208	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	1.7268657809905452
3.60950235243684e-05	7.85308329015049e-06	10.7557851741429	-4.81492022266505	3.28801589039326	-0.173913712833345	TMED9	54732	transmembrane p24 trafficking protein 9	1.838835642987312
6.69391727650121e-05	1.61171459849229e-05	9.36814541164286	4.62340403124032	2.59988785639662	0.279530363099994	TMED10	10972	transmembrane p24 trafficking protein 10	2.3553265457739103
0.0044533132240814	0.0019474003717185	6.76742168772857	-3.21559014059524	-1.91862119678694	-0.147726368233344	PFKFB2	5208	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	1.8686640738168432
0.0136414240669202	0.006911467587208	9.19333368854286	-2.78068363825472	-3.0759547972819	-0.121125353375019	PFKFB2	5208	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	1.898963691583237
0.953332857074972	0.93868478371266	8.70911812531429	-0.077191051972009	-6.74382856665423	-0.006803982408341	LMNA	4000	lamin A/C	2.029180296523648
